db_id,sevM_id,LevScore,db,sevMil,label
dbpedia_1874,7.1m_388,0.7567567567567568,ormat technologies,indite technologies,False
dbpedia_4783,7.1m_388,0.7567567567567568,roper technologies,indite technologies,False
dbpedia_2133,7.1m_422,0.7567567567567568,hill international,magna international,False
dbpedia_1271,7.1m_1380,0.7567567567567568,keihin corporation,centene corporation,False
dbpedia_6290,7.1m_1237,0.7567567567567568,toa technologies,hexaware technologies,False
dbpedia_2976,7.1m_268,0.7567567567567568,analogic corporation,fluor corporation,False
dbpedia_4341,7.1m_1782,0.7567567567567568,smart technologies,united technologies,False
dbpedia_4224,7.1m_676,0.7567567567567568,chiron corporation,bechtel corporation,False
dbpedia_3690,7.1m_796,0.7555555555555555,cpamerica international,colliers international,False
dbpedia_6443,7.1m_714,0.7555555555555555,haynes international,arbonne international llc,False
dbpedia_2079,7.1m_1835,0.7555555555555555,hearst communications,discovery communications,False
dbpedia_4968,7.1m_330,0.7555555555555555,southern copper corporation,cerner corporation,False
dbpedia_6286,7.1m_923,0.7555555555555555,micro-star international,dyncorp international,False
dbpedia_4328,7.1m_1268,0.7555555555555555,ochsner health system,henry ford health system,False
dbpedia_803,7.1m_507,0.7555555555555555,eir (telecommunications),rogers communications,False
dbpedia_1101,7.1m_263,0.2978723404255319,bank of the west,new york life insurance company,False
dbpedia_3423,7.1m_467,0.2962962962962963,pluralsight,bayer healthcare,False
dbpedia_5908,7.1m_981,0.2962962962962963,longrich,tata communications,False
dbpedia_6626,7.1m_1995,0.2962962962962963,dtp entertainment,con edison,False
dbpedia_3810,7.1m_364,0.2962962962962963,keolis nederland,rolls-royce,False
dbpedia_2576,7.1m_1716,0.2941176470588235,ace aviation holdings,u.s. army network enterprise technology command,False
dbpedia_866,7.1m_1177,0.2941176470588235,romarm,wm morrison supermarkets plc,False
dbpedia_5308,7.1m_1566,0.2941176470588235,first bancorp,texas tech university,False
dbpedia_1934,7.1m_281,0.2941176470588235,"mexican restaurants, inc.",axis bank,False
dbpedia_3563,7.1m_846,0.2941176470588235,thames water,caci international inc,False
dbpedia_3886,7.1m_1707,0.2941176470588235,smtc corporation,deloitte australia,False
dbpedia_863,7.1m_593,0.2941176470588235,rpm international,quest diagnostics,False
dbpedia_4220,7.1m_756,0.2941176470588235,forrester research,verizon business,False
dbpedia_3765,7.1m_916,0.2941176470588235,"interface, inc.",parsons corporation,False
dbpedia_1351,7.1m_157,0.29268292682926833,auburn national bancorporation,continental,False
dbpedia_1090,7.1m_677,0.29166666666666663,namakkal transport carriers,idol image consulting,False
dbpedia_4092,7.1m_431,0.2857142857142857,cno financial group,sherwin williams,False
dbpedia_6418,7.1m_1254,0.2857142857142857,agrale,western digital,False
dbpedia_1031,7.1m_1658,0.2857142857142857,american airlines group,syracuse university,False
dbpedia_3797,7.1m_73,0.2857142857142857,petco,td,False
dbpedia_6365,7.1m_1648,0.2857142857142857,distell group limited,usana health sciences,False
dbpedia_6666,7.1m_1834,0.2857142857142857,allegion,b/e aerospace,False
dbpedia_3667,7.1m_317,0.2857142857142857,hutchinson builders,akzonobel,False
dbpedia_5840,7.1m_797,0.2857142857142857,hasbro,flipkart,False
dbpedia_1388,7.1m_769,0.2857142857142857,sera architects,suncor energy,False
dbpedia_700,7.1m_59,0.2857142857142857,embraer,american center of krasnodar,False
dbpedia_6258,7.1m_1861,0.2857142857142857,iberiabank,western university,False
dbpedia_4928,7.1m_98,0.2857142857142857,marc's,facebook,False
dbpedia_3251,7.1m_1428,0.2857142857142857,ascent solar,uc irvine,False
dbpedia_1173,7.1m_68,0.2857142857142857,restaurant brands international,schneider electric,False
dbpedia_4690,7.1m_1195,0.28,brilliance auto group,commonwealth of massachusetts,False
dbpedia_2962,7.1m_1027,0.2790697674418605,towers perrin,s&p global market intelligence,False
dbpedia_1562,7.1m_910,0.2790697674418605,arctech helsinki shipyard,shoppers drug mart,False
dbpedia_3661,7.1m_1814,0.2790697674418605,mobile mini,steel authority of india limited,False
dbpedia_3342,7.1m_1097,0.2790697674418605,storage technology corporation,pernod ricard,False
dbpedia_779,7.1m_1944,0.2790697674418605,affinity credit union,the cheesecake factory,False
dbpedia_2377,7.1m_1014,0.2777777777777778,stanbic ibtc holdings,bmo harris bank,False
dbpedia_6508,7.1m_1531,0.2777777777777778,ncba bank rwanda,stanford health care,False
dbpedia_2046,7.1m_1926,0.2777777777777778,acosta sales & marketing,fearless fly,False
dbpedia_3626,7.1m_1516,0.2777777777777778,seven & i holdings,clemson university,False
dbpedia_6070,7.1m_1312,0.2777777777777778,amalgamated bank of chicago,beachbody,False
dbpedia_2053,7.1m_1327,0.2777777777777778,advanced computer techniques,opentext,False
dbpedia_1494,7.1m_165,0.27586206896551724,hokuetsu corporation,carrefour,False
dbpedia_1195,7.1m_1693,0.27586206896551724,softbank group,york university,False
dbpedia_1412,7.1m_472,0.27586206896551724,eiffel (company),us government,False
dbpedia_3445,7.1m_961,0.2727272727272727,apple inc.,china mobile,False
dbpedia_1377,7.1m_1006,0.2727272727272727,positivo tecnologia,american eagle outfitters,False
dbpedia_94,7.1m_1301,0.2727272727272727,smorgon steel,eduseeker,False
dbpedia_2918,7.1m_885,0.2727272727272727,all pro sound,taco bell,False
dbpedia_5999,7.1m_616,0.2702702702702703,budweiser budvar brewery,banner health,False
dbpedia_347,7.1m_1448,0.2702702702702703,komus (company),primark stores limited,False
dbpedia_3200,7.1m_1311,0.2702702702702703,pv crystalox solar,mcmaster university,False
dbpedia_5880,7.1m_916,0.2702702702702703,green bank (texas),parsons corporation,False
dbpedia_1196,7.1m_482,0.26865671641791045,sonae indústria,departament d'ensenyament - generalitat de catalunya,False
dbpedia_4290,7.1m_232,0.2666666666666667,markit,travelers,False
dbpedia_4333,7.1m_1340,0.2666666666666667,objet geometries,australia post,False
dbpedia_4221,7.1m_1292,0.2666666666666667,freudenberg group,hcr manorcare,False
dbpedia_5733,7.1m_1345,0.2666666666666667,warburtons,gulfstream aerospace,False
dbpedia_3735,7.1m_610,0.2666666666666667,glysens icgm,aim,False
dbpedia_3135,7.1m_1883,0.2666666666666667,unionbank,airgas,False
dbpedia_3245,7.1m_77,0.2666666666666667,everi holdings,procter & gamble,False
dbpedia_1416,7.1m_1524,0.2666666666666667,internap,saudi arabian airlines,False
dbpedia_4884,7.1m_461,0.2666666666666667,fca serbia,tesla,False
dbpedia_6426,7.1m_259,0.2666666666666667,advanced drainage systems,bristol-myers squibb,False
dbpedia_5090,7.1m_1271,0.2666666666666667,entel (chile),the church of jesus christ of latter-day saints,False
dbpedia_1687,7.1m_1204,0.2666666666666667,amazon (company),shangri-la hotels and resorts,False
dbpedia_528,7.1m_1445,0.2666666666666667,magneti marelli,deloitte canada,False
dbpedia_3015,7.1m_1903,0.26315789473684215,banco bradesco,fairview health services,False
dbpedia_1547,7.1m_771,0.26315789473684215,zotter schokoladen manufaktur,luxottica,False
dbpedia_4449,7.1m_1871,0.26315789473684215,karnaphuli group,university of waterloo,False
dbpedia_4887,7.1m_795,0.26315789473684215,fiat powertrain technologies,university,False
dbpedia_3241,7.1m_1786,0.26086956521739135,equity bank uganda limited,s.f. express co. ltd,False
dbpedia_4618,7.1m_1336,0.26086956521739135,narvik energi,allscripts,False
dbpedia_2026,7.1m_109,0.26086956521739135,precigen,thomson reuters,False
dbpedia_5783,7.1m_503,0.26086956521739135,saibu gas,ppg industries,False
dbpedia_6766,7.1m_1478,0.26086956521739135,kanbay,la banque postale,False
dbpedia_1396,7.1m_810,0.26086956521739135,site centers,any company,False
dbpedia_3748,7.1m_1028,0.26086956521739135,grupo bimbo,lic of india,False
dbpedia_5097,7.1m_828,0.26086956521739135,al mar knives,jti (japan tobacco international),False
dbpedia_1472,7.1m_1265,0.26086956521739135,macfarlane group,entergy,False
dbpedia_2591,7.1m_853,0.2592592592592593,western refining,"the ritz-carlton hotel company, l.l.c.",False
dbpedia_1359,7.1m_724,0.25806451612903225,boe technology,va medical center,False
dbpedia_6217,7.1m_796,0.25806451612903225,tvsdesign,colliers international,False
dbpedia_5677,7.1m_1626,0.2564102564102564,mitsui fudosan,niit technologies limited,False
dbpedia_4007,7.1m_931,0.2564102564102564,ns railinfratrust,kbc bank & verzekering,False
dbpedia_5915,7.1m_949,0.25531914893617025,philippine airlines,orange county public schools,False
dbpedia_2717,7.1m_1979,0.25531914893617025,edelman (firm),universidad complutense de madrid,False
dbpedia_2761,7.1m_1758,0.25,gaumont film company,emirates nbd,False
dbpedia_5781,7.1m_449,0.25,snc-lavalin,promsvyaznedvizhimost,False
dbpedia_1880,7.1m_1479,0.25,wacom,ncc,False
dbpedia_4720,7.1m_1073,0.25,coloplast,directv,False
dbpedia_4685,7.1m_1813,0.25,vesuvius plc,"mattel, inc.",False
dbpedia_4358,7.1m_1069,0.25,hydro husnes,"santander bank, n.a.",False
dbpedia_247,7.1m_1713,0.25,apotex,john lewis,False
dbpedia_2754,7.1m_47,0.25,bjørnøen,unilever,False
dbpedia_2937,7.1m_1794,0.25,latvijas krājbanka,banco sabadell,False
dbpedia_1277,7.1m_1898,0.25,mentor graphics,telkomsel,False
dbpedia_5822,7.1m_444,0.25,ebay,leroy merlin,False
dbpedia_6062,7.1m_1200,0.25,dnb nord,florida state university,False
dbpedia_6426,7.1m_447,0.25,advanced drainage systems,te connectivity,False
dbpedia_5273,7.1m_1314,0.25,pinnacle west capital,lloyds bank,False
dbpedia_4032,7.1m_615,0.25,spark therapeutics,cnh industrial,False
dbpedia_1868,7.1m_1571,0.25,kombiverkehr,university of michigan health system,False
dbpedia_494,7.1m_1438,0.25,"marvell technology, inc.",televisa,False
dbpedia_873,7.1m_470,0.25,radcom ltd,re/max,False
dbpedia_4054,7.1m_1614,0.25,fingersoft,mary kay idependent consultant,False
dbpedia_3913,7.1m_931,0.25,sennheiser,kbc bank & verzekering,False
dbpedia_6191,7.1m_1146,0.25,nucleus software exports,general dynamics,False
dbpedia_4621,7.1m_628,0.25,physassist scribes,mapfre,False
dbpedia_1949,7.1m_8,0.25,sony energy devices corporation,microsoft,False
dbpedia_6880,7.1m_426,0.25,karsan,no-company,False
dbpedia_3182,7.1m_97,0.25,pembina pipeline,barclays,False
dbpedia_4585,7.1m_1150,0.24390243902439024,bloomberg l.p.,discover financial services,False
dbpedia_3254,7.1m_791,0.24390243902439024,athens international airport s.a.,gap inc.,False
dbpedia_3968,7.1m_1164,0.24390243902439024,ubiquiti,university hospitals of cleveland,False
dbpedia_5894,7.1m_506,0.24390243902439024,george weston limited,teva pharmaceuticals,False
dbpedia_1421,7.1m_1693,0.24390243902439024,agroindustrial casa grande,york university,False
dbpedia_4214,7.1m_454,0.24390243902439024,adva optical networking,sun life financial,False
dbpedia_3744,7.1m_1674,0.24242424242424243,iasis healthcare,burns & mcdonnell,False
dbpedia_6872,7.1m_1626,0.24242424242424243,iliad sa,niit technologies limited,False
dbpedia_425,7.1m_612,0.24242424242424243,friuladria,burger king corporation,False
dbpedia_212,7.1m_1442,0.24242424242424243,red lobster,johns hopkins hospital,False
dbpedia_2574,7.1m_296,0.24242424242424243,rolls-royce power systems,reliance,False
dbpedia_2687,7.1m_1263,0.24242424242424243,demant,nationwide building society,False
dbpedia_4923,7.1m_1786,0.24242424242424243,ipg photonics,s.f. express co. ltd,False
dbpedia_3179,7.1m_1907,0.24137931034482762,mitsubishi ufj financial group,j. walter thompson worldwide,False
dbpedia_6223,7.1m_1805,0.24,solvay indupa,milli eğitim,False
dbpedia_6202,7.1m_479,0.24,rentokil initial,pizza hut,False
dbpedia_6430,7.1m_1535,0.24,diamondback energy,servier,False
dbpedia_1207,7.1m_310,0.24,pcc se,psa peugeot citroën,False
dbpedia_4397,7.1m_806,0.24,qcr holdings,zimmer biomet,False
dbpedia_4947,7.1m_1310,0.23809523809523814,robert dyas,l&t technology services limited,False
dbpedia_6900,7.1m_1310,0.23809523809523814,peene-werft,l&t technology services limited,False
dbpedia_5034,7.1m_1195,0.23809523809523814,minterellison,commonwealth of massachusetts,False
dbpedia_2697,7.1m_1564,0.23809523809523814,ert (company),u.s. house of representatives,False
dbpedia_2692,7.1m_787,0.23529411764705888,eps tpp kosovo,capgemini consulting,False
dbpedia_321,7.1m_1947,0.23529411764705888,concentrix,tenneco,False
dbpedia_110,7.1m_1267,0.23529411764705888,ecopetrol,transnet,False
dbpedia_5618,7.1m_1217,0.23529411764705888,visteon,fannie mae,False
dbpedia_1985,7.1m_150,0.23529411764705888,epson,baker hughes,False
dbpedia_3279,7.1m_1631,0.23529411764705888,saic motor,menards,False
dbpedia_2334,7.1m_1452,0.23529411764705888,big lots,tennessee valley authority,False
dbpedia_5637,7.1m_552,0.23529411764705888,gyldendal,rite aid,False
dbpedia_2796,7.1m_1639,0.23529411764705888,pitsos,media markt,False
dbpedia_2686,7.1m_272,0.23529411764705888,delek us,bmw group,False
dbpedia_4318,7.1m_429,0.23529411764705888,meg energy,barclays investment bank,False
dbpedia_1887,7.1m_456,0.23529411764705888,lockheed martin orincon,century 21®,False
dbpedia_5781,7.1m_1124,0.23529411764705888,snc-lavalin,northeastern university,False
dbpedia_212,7.1m_703,0.2325581395348837,red lobster,miami-dade county public schools,False
dbpedia_6491,7.1m_1206,0.2325581395348837,arteris,medical university of south carolina,False
dbpedia_1781,7.1m_449,0.23076923076923073,femsa,promsvyaznedvizhimost,False
dbpedia_2032,7.1m_1885,0.23076923076923073,"quickbase, inc.",transcanada,False
dbpedia_6766,7.1m_221,0.23076923076923073,kanbay,prefeitura municipal,False
dbpedia_1815,7.1m_1116,0.23076923076923073,littelfuse,bank of the west,False
dbpedia_6609,7.1m_1239,0.23076923076923073,cintra,metro cash and carry,False
dbpedia_6151,7.1m_439,0.23076923076923073,sherritt international,sony,False
dbpedia_1757,7.1m_310,0.22857142857142854,bank bic namibia,psa peugeot citroën,False
dbpedia_3792,7.1m_1219,0.22857142857142854,mikasa sports,societe generale corporate and investment banking - sgcib,False
dbpedia_4136,7.1m_1124,0.22857142857142854,d. r. horton,northeastern university,False
dbpedia_6284,7.1m_1608,0.22857142857142854,mercedes-benz group,emory healthcare,False
dbpedia_4320,7.1m_1579,0.2272727272727273,mtd products,national university of singapore,False
dbpedia_2815,7.1m_747,0.2264150943396226,sporveisbussene,department for work and pensions (dwp),False
dbpedia_489,7.1m_351,0.22535211267605637,marquard & bahls,"""cecaci""  centro de capacitacion comercial e industrial",False
dbpedia_2592,7.1m_1315,0.2222222222222222,edp renewables north america,swedbank,False
dbpedia_4198,7.1m_74,0.2222222222222222,nutreco,ge,False
dbpedia_4179,7.1m_1749,0.2222222222222222,wincanton plc,university of amsterdam,False
dbpedia_6707,7.1m_459,0.2222222222222222,foundry networks,ge aviation,False
dbpedia_3614,7.1m_119,0.2222222222222222,wika,merck,False
dbpedia_916,7.1m_660,0.2222222222222222,netsmart technologies,volvo car group,False
dbpedia_4635,7.1m_1878,0.2222222222222222,spyderco,hospital & healthcare brazil,False
dbpedia_3299,7.1m_816,0.2222222222222222,satcon technology corporation,sandvik,False
dbpedia_6554,7.1m_918,0.2222222222222222,firstenergy,keybank,False
dbpedia_2586,7.1m_1460,0.2222222222222222,moore kingston smith,life time - the healthy way of life company,False
dbpedia_4042,7.1m_457,0.2222222222222222,phocas software,adecco group,False
dbpedia_1351,7.1m_817,0.2222222222222222,auburn national bancorporation,propia,False
dbpedia_3691,7.1m_142,0.2222222222222222,nuveen,aon,False
dbpedia_520,7.1m_1226,0.2222222222222222,hornby railways,hdr,False
dbpedia_3296,7.1m_1196,0.2222222222222222,scottrade,skf group,False
dbpedia_553,7.1m_1315,0.2222222222222222,rocket lab,swedbank,False
dbpedia_5729,7.1m_471,0.2222222222222222,agco,jabil,False
dbpedia_2648,7.1m_1682,0.2222222222222222,"saks, inc.",university medical center groningen,False
dbpedia_106,7.1m_560,0.2222222222222222,dentsply sirona,tnt,False
dbpedia_5616,7.1m_277,0.2222222222222222,posco,lafargeholcim,False
dbpedia_4365,7.1m_908,0.2222222222222222,outsource partners international,casa,False
dbpedia_958,7.1m_1449,0.21621621621621623,catamaran corporation,ghent university,False
dbpedia_2286,7.1m_499,0.21621621621621623,lpp (company),arizona state university,False
dbpedia_3236,7.1m_263,0.21621621621621623,watsco,new york life insurance company,False
dbpedia_5572,7.1m_926,0.2142857142857143,liugong,otis elevator company,False
dbpedia_242,7.1m_408,0.2142857142857143,apple leisure group,unicredit,False
dbpedia_2039,7.1m_1495,0.2142857142857143,électricité de france,agility,False
dbpedia_3787,7.1m_17,0.2142857142857143,millicom,jpmorgan chase & co.,False
dbpedia_6083,7.1m_14,0.2142857142857143,changhong technology,deloitte,False
dbpedia_1228,7.1m_939,0.2142857142857143,wah chang corporation,vodacom,False
dbpedia_3082,7.1m_150,0.2142857142857143,main street bank,baker hughes,False
dbpedia_5724,7.1m_543,0.2142857142857143,api healthcare,university of illinois at urbana-champaign,False
dbpedia_1066,7.1m_1081,0.21052631578947367,china mobile,nenhuma,False
dbpedia_4009,7.1m_1416,0.21052631578947367,politika a.d.,viacom,False
dbpedia_5256,7.1m_1224,0.21052631578947367,holcim,mac cosmetics,False
dbpedia_4754,7.1m_1766,0.21052631578947367,king power,international committee of the red cross - icrc,False
dbpedia_4000,7.1m_157,0.21052631578947367,nb power,continental,False
dbpedia_2231,7.1m_1638,0.21052631578947367,cpc corporation,ptcl,False
dbpedia_2639,7.1m_395,0.21052631578947367,dupont fabros technology,kelly services,False
dbpedia_4425,7.1m_1834,0.21052631578947367,pepkor,b/e aerospace,False
dbpedia_2313,7.1m_1874,0.21052631578947367,banco português de investimento,edelman,False
dbpedia_6208,7.1m_1989,0.2068965517241379,helkama,bnl gruppo bnp paribas,False
dbpedia_1159,7.1m_47,0.2068965517241379,nuance communications,unilever,False
dbpedia_6752,7.1m_548,0.2068965517241379,seylan bank,"ping an insurance (group) company of china ,ltd",False
dbpedia_6480,7.1m_1951,0.2068965517241379,bloomin' brands,private family,False
dbpedia_3541,7.1m_1325,0.2068965517241379,john deere,rbc capital markets,False
dbpedia_6387,7.1m_1459,0.2068965517241379,sohoware incorporated,turkcell,False
dbpedia_4351,7.1m_466,0.20588235294117652,option n.v.,the janssen pharmaceutical companies of johnson & johnson,False
dbpedia_790,7.1m_1446,0.20512820512820518,eq bank,center for clinical trails varna,False
dbpedia_1919,7.1m_1153,0.20512820512820518,integrated electrical services,lufthansa,False
dbpedia_4508,7.1m_1706,0.19999999999999996,babolat,university of cape town,False
dbpedia_4770,7.1m_1480,0.19999999999999996,textmagic,norton rose fulbright,False
dbpedia_917,7.1m_1947,0.19999999999999996,nippon kayaku,tenneco,False
dbpedia_4368,7.1m_178,0.19999999999999996,volkerwessels,cargill,False
dbpedia_1437,7.1m_350,0.19999999999999996,haseko,u.s. department of state,False
dbpedia_3104,7.1m_1788,0.19999999999999996,douglas holding,aafes,False
dbpedia_2437,7.1m_693,0.19999999999999996,icims,macquarie group,False
dbpedia_6610,7.1m_1811,0.19999999999999996,clarín group,baptist health south florida,False
dbpedia_1845,7.1m_744,0.19999999999999996,simpson gumpertz & heger inc.,snc-lavalin,False
dbpedia_6126,7.1m_1612,0.19999999999999996,transat a.t.,uchealth,False
dbpedia_6864,7.1m_110,0.19999999999999996,ikarbus,ministerio de educación,False
dbpedia_5206,7.1m_754,0.19999999999999996,halkbank a.d.,state of michigan,False
dbpedia_582,7.1m_251,0.19999999999999996,pcsb bank,mayo clinic,False
dbpedia_196,7.1m_409,0.19999999999999996,piotr i paweł,mphasis,False
dbpedia_4012,7.1m_1977,0.19999999999999996,rtl group,university of the witwatersrand,False
dbpedia_4795,7.1m_541,0.19999999999999996,american eagle outfitters,chase,False
dbpedia_4948,7.1m_425,0.19999999999999996,codan medical,staples,False
dbpedia_5024,7.1m_1593,0.19047619047619047,mediacom,conagra foods,False
dbpedia_3883,7.1m_1315,0.19047619047619047,putevi srbije,swedbank,False
dbpedia_668,7.1m_1422,0.19047619047619047,target corporation,amc,False
dbpedia_3718,7.1m_849,0.19047619047619047,opinel,city of toronto,False
dbpedia_2273,7.1m_1537,0.19047619047619047,japan steel works,ntpc,False
dbpedia_3782,7.1m_1983,0.19047619047619047,mikuni (company),sonda,False
dbpedia_2355,7.1m_304,0.1875,freshpet,nissan motor corporation,False
dbpedia_1796,7.1m_500,0.1875,fairpoint communications,heineken,False
dbpedia_3723,7.1m_174,0.18604651162790697,vivartia,united states department of defense,False
dbpedia_100,7.1m_1958,0.18181818181818177,agricultural bank of china,wayfair,False
dbpedia_482,7.1m_1407,0.18181818181818177,shikoku electric power,jin&company,False
dbpedia_1028,7.1m_595,0.18181818181818177,anaplan,geen,False
dbpedia_4127,7.1m_970,0.18181818181818177,cosan,marinha do brasil,False
dbpedia_1389,7.1m_528,0.18181818181818177,smc corporation,harvard university,False
dbpedia_3928,7.1m_1624,0.18181818181818177,abbvie,entel,False
dbpedia_221,7.1m_1778,0.18181818181818177,zilog,hub international,False
dbpedia_397,7.1m_384,0.18181818181818177,alteryx,saic,False
dbpedia_4693,7.1m_135,0.18181818181818177,cma cgm,cbre,False
dbpedia_5263,7.1m_223,0.18181818181818177,petrohawk,forza silicon,False
dbpedia_3851,7.1m_1616,0.18181818181818177,aker verdal,volvo group,False
dbpedia_2828,7.1m_5,0.18181818181818177,finnair,hewlett-packard,False
dbpedia_4684,7.1m_812,0.18181818181818177,vestel,avaya,False
dbpedia_447,7.1m_992,0.18181818181818177,universal robots,capita,False
dbpedia_1128,7.1m_785,0.18181818181818177,exelixis,meb,False
dbpedia_6192,7.1m_1479,0.18181818181818177,otp bank,ncc,False
dbpedia_1206,7.1m_737,0.18181818181818177,organic valley,dbs bank,False
dbpedia_968,7.1m_1435,0.18181818181818177,constantin film,pirelli,False
dbpedia_2189,7.1m_1024,0.1785714285714286,aramark,canadian armed forces | forces armées canadiennes,False
dbpedia_4753,7.1m_351,0.17647058823529416,kosmos energy,"""cecaci""  centro de capacitacion comercial e industrial",False
dbpedia_6021,7.1m_1408,0.17647058823529416,co-operative bank of kenya,wärtsilä,False
dbpedia_5681,7.1m_1219,0.17647058823529416,mercyhealth,societe generale corporate and investment banking - sgcib,False
dbpedia_474,7.1m_452,0.17647058823529416,beacon building products,teksystems,False
dbpedia_4891,7.1m_920,0.17391304347826086,marks & spencer,dominion,False
dbpedia_2876,7.1m_382,0.17391304347826086,briggs & stratton,adecco,False
dbpedia_4007,7.1m_1916,0.17391304347826086,ns railinfratrust,achmea,False
dbpedia_6274,7.1m_1315,0.17391304347826086,iluka resources,swedbank,False
dbpedia_1475,7.1m_749,0.17391304347826086,marsh (company),uc davis,False
dbpedia_6486,7.1m_794,0.17391304347826086,blue hills bank,grainger,False
dbpedia_507,7.1m_1897,0.17391304347826086,"f5, inc.",ssm health care,False
dbpedia_6389,7.1m_625,0.17391304347826086,qualtrics,dimension data,False
dbpedia_5303,7.1m_630,0.17391304347826086,arçelik,general dynamics information technology,False
dbpedia_6347,7.1m_34,0.17142857142857137,equity bank (united states),vodafone,False
dbpedia_6211,7.1m_1597,0.17142857142857137,snam,save the children international,False
dbpedia_587,7.1m_1289,0.17142857142857137,wallenius wilhelmsen logistics,nalco,False
dbpedia_1149,7.1m_211,0.17142857142857137,inkas,social security administration,False
dbpedia_2136,7.1m_681,0.17142857142857137,lorillard tobacco company,home depot,False
dbpedia_4585,7.1m_411,0.17142857142857137,bloomberg l.p.,progressive insurance,False
dbpedia_2184,7.1m_1054,0.16666666666666663,yum china,gsa,False
dbpedia_575,7.1m_1808,0.16666666666666663,peco-inspx,orlando health,False
dbpedia_3460,7.1m_758,0.16666666666666663,new york life insurance company,shire,False
dbpedia_1480,7.1m_743,0.16666666666666663,gander rv,mtn,False
dbpedia_3193,7.1m_209,0.16666666666666663,tdc holding a/s,h&r block,False
dbpedia_385,7.1m_1632,0.16666666666666663,ptv ag,airbnb,False
dbpedia_3394,7.1m_1901,0.16666666666666663,gfk,geen meer,False
dbpedia_5404,7.1m_1879,0.16666666666666663,teradata,ufrj,False
dbpedia_5038,7.1m_472,0.16666666666666663,micro focus,us government,False
dbpedia_5615,7.1m_905,0.16666666666666663,p. c. richard & son,coles,False
dbpedia_845,7.1m_25,0.16666666666666663,m&g,capgemini,False
dbpedia_802,7.1m_1510,0.16216216216216217,efecte,baltimore county public schools,False
dbpedia_5770,7.1m_251,0.16000000000000003,powell's books,mayo clinic,False
dbpedia_1294,7.1m_799,0.16000000000000003,pelni,government of canada,False
dbpedia_4113,7.1m_891,0.16000000000000003,coop norden,etihad airways,False
dbpedia_811,7.1m_1731,0.16000000000000003,suning.com,astellas pharma,False
dbpedia_1295,7.1m_214,0.16000000000000003,penny (supermarket),thales,False
dbpedia_6521,7.1m_1185,0.16000000000000003,ramboll,advance auto parts,False
dbpedia_4961,7.1m_53,0.1578947368421053,southern progress corporation,honeywell,False
dbpedia_1,7.1m_572,0.1578947368421053,alten,the university of texas at austin,False
dbpedia_5427,7.1m_1656,0.1578947368421053,réseau de transport d'électricité,kerry,False
dbpedia_1656,7.1m_158,0.15384615384615385,lands' end,pnc,False
dbpedia_2383,7.1m_19,0.15384615384615385,travel + leisure co.,amazon,False
dbpedia_5155,7.1m_633,0.15384615384615385,semrush,atkins,False
dbpedia_972,7.1m_478,0.15384615384615385,color press group,sonatrach,False
dbpedia_4429,7.1m_201,0.15384615384615385,peab,hospital universitario josep trueta,False
dbpedia_2906,7.1m_1296,0.15384615384615385,crossmark,allianz insurance,False
dbpedia_1022,7.1m_154,0.15384615384615385,roth & rau,rbc,False
dbpedia_3028,7.1m_703,0.15000000000000002,jsl s.a.,miami-dade county public schools,False
dbpedia_2929,7.1m_1322,0.14814814814814814,dlr group,allstate financial,False
dbpedia_4417,7.1m_1199,0.14814814814814814,michel cluizel,pt. bank negara indonesia (persero) tbk.,False
dbpedia_5164,7.1m_785,0.1428571428571429,super-pharm,meb,False
dbpedia_2594,7.1m_1858,0.1428571428571429,energy transfer partners,psav,False
dbpedia_4986,7.1m_1631,0.1428571428571429,whsmith,menards,False
dbpedia_4010,7.1m_1638,0.1428571428571429,ranhill utilities berhad,ptcl,False
dbpedia_5935,7.1m_186,0.1428571428571429,statnett,jacobs,False
dbpedia_6505,7.1m_757,0.1428571428571429,nectar d.o.o.,pratt & whitney,False
dbpedia_3983,7.1m_1058,0.1428571428571429,galderma,jsmnet,False
dbpedia_4219,7.1m_810,0.1428571428571429,gkn,any company,False
dbpedia_4542,7.1m_694,0.1428571428571429,acme packet,msd,False
dbpedia_1365,7.1m_1269,0.1428571428571429,bbc,selbständig,False
dbpedia_3822,7.1m_1887,0.1428571428571429,moonbug entertainment,danfoss,False
dbpedia_4367,7.1m_1688,0.1428571428571429,volaris,softtek,False
dbpedia_1534,7.1m_383,0.1428571428571429,srbija voz,bb&t,False
dbpedia_5939,7.1m_1513,0.1428571428571429,srbijagas,lululemon athletica,False
dbpedia_3632,7.1m_997,0.1428571428571429,barambo,natixis,False
dbpedia_3855,7.1m_1526,0.1428571428571429,alicorp,ochsner health system,False
dbpedia_3983,7.1m_1480,0.13793103448275867,galderma,norton rose fulbright,False
dbpedia_1147,7.1m_1613,0.13793103448275867,mahle gmbh,griffith university,False
dbpedia_2906,7.1m_1893,0.1333333333333333,crossmark,telmex,False
dbpedia_2123,7.1m_1947,0.1333333333333333,bouygues,tenneco,False
dbpedia_4780,7.1m_332,0.1333333333333333,pantos logistics,kimberly-clark,False
dbpedia_3413,7.1m_442,0.1333333333333333,nmc health,serco,False
dbpedia_5692,7.1m_753,0.1333333333333333,totvs,rsm us llp,False
dbpedia_6350,7.1m_1326,0.1333333333333333,attica group,ucb,False
dbpedia_119,7.1m_295,0.1333333333333333,eiffage,national australia bank,False
dbpedia_4547,7.1m_1385,0.13043478260869568,didi,bennett coleman and co. ltd. (times group),False
