ft_id,sevM_id,LevScore,ft,sevMil,label
ft_id_1891,7.1m_1568,0.2941176470588235,aareal bank,kansas state university,False
ft_id_1104,7.1m_861,0.2941176470588235,bdo unibank,carlson wagonlit travel,False
ft_id_1486,7.1m_1394,0.2941176470588235,thai beverage,libero professionista,False
ft_id_1425,7.1m_1907,0.2941176470588235,empire,j. walter thompson worldwide,False
ft_id_455,7.1m_1486,0.2941176470588235,xcel energy,university of tennessee,False
ft_id_597,7.1m_1252,0.2941176470588235,credit suisse group,beckman coulter,False
ft_id_1843,7.1m_390,0.2941176470588235,chr. hansen holding,coldwell banker,False
ft_id_1211,7.1m_519,0.29268292682926833,mirae asset financial group,ceva logistics,False
ft_id_1879,7.1m_385,0.29268292682926833,sitc international holdings,bureau veritas,False
ft_id_1854,7.1m_606,0.29268292682926833,nanto bank,university of wisconsin-madison,False
ft_id_579,7.1m_287,0.29268292682926833,illinois tool works,university of michigan,False
ft_id_1677,7.1m_1838,0.29166666666666663,zheshang development group,generali italia s.p.a.,False
ft_id_1209,7.1m_491,0.29166666666666663,pge polska grupa energetyczna,rockwell automation,False
ft_id_579,7.1m_1533,0.2909090909090909,illinois tool works,beth israel deaconess medical center,False
ft_id_120,7.1m_1019,0.2909090909090909,credit agricole,us environmental protection agency (epa),False
ft_id_1797,7.1m_710,0.2857142857142857,qingdao rural commercial bank,natura,False
ft_id_1597,7.1m_795,0.2857142857142857,hf sinclair,university,False
ft_id_1283,7.1m_913,0.2857142857142857,popular,aricent,False
ft_id_1648,7.1m_1649,0.2857142857142857,china communications services,mcafee,False
ft_id_1759,7.1m_726,0.2857142857142857,lindt & sprungli,engie,False
ft_id_1949,7.1m_175,0.2857142857142857,healthpeak properties,metlife,False
ft_id_1976,7.1m_978,0.2857142857142857,ampol ,boots uk,False
ft_id_1511,7.1m_1777,0.2857142857142857,geberit,alorica,False
ft_id_1518,7.1m_435,0.2857142857142857,fukuoka financial group,stanford university,False
ft_id_602,7.1m_1882,0.2857142857142857,entergy,factset,False
ft_id_535,7.1m_1151,0.2857142857142857,cbre group,erdf,False
ft_id_1772,7.1m_184,0.2857142857142857,power assets holdings,comcast,False
ft_id_1107,7.1m_475,0.2857142857142857,chesapeake energy,accorhotels,False
ft_id_28,7.1m_1717,0.2857142857142857,total,ul,False
ft_id_1522,7.1m_897,0.2857142857142857,mondi,florida hospital,False
ft_id_1430,7.1m_1507,0.2857142857142857,henry schein,american electric power,False
ft_id_38,7.1m_1405,0.2857142857142857,bnp paribas,albertsons,False
ft_id_1207,7.1m_247,0.2857142857142857,tohoku electric power,united nations,False
ft_id_467,7.1m_1974,0.2857142857142857,kinder morgan,alaska airlines,False
ft_id_1569,7.1m_549,0.2857142857142857,adani green energy,desjardins,False
ft_id_1672,7.1m_421,0.2857142857142857,sahara international petrochemical,syngenta,False
ft_id_1703,7.1m_1312,0.2857142857142857,petro rabigh,beachbody,False
ft_id_1151,7.1m_929,0.2857142857142857,sodexo,oriflame,False
ft_id_1008,7.1m_1217,0.2857142857142857,ebay,fannie mae,False
ft_id_17,7.1m_598,0.2857142857142857,wells fargo,ge capital,False
ft_id_1132,7.1m_1593,0.2857142857142857,luzhou lao jiao,conagra foods,False
ft_id_1732,7.1m_630,0.2857142857142857,mitsubishi motors,general dynamics information technology,False
ft_id_1195,7.1m_602,0.2857142857142857,national bank of greece,northern trust corporation,False
ft_id_1819,7.1m_1634,0.2816901408450704,horizon therapeutics public limited company,sandia national laboratories,False
ft_id_546,7.1m_1683,0.28,magna international,case western reserve university,False
ft_id_1112,7.1m_1721,0.28,beijing enterprises,ministry of health saudi arabia,False
ft_id_1121,7.1m_923,0.2790697674418605,west fraser timber co.,dyncorp international,False
ft_id_1115,7.1m_1652,0.2777777777777778,nongfu spring,freescale semiconductor,False
ft_id_1584,7.1m_1380,0.2777777777777778,kiwoom securities,centene corporation,False
ft_id_1192,7.1m_1886,0.2777777777777778,kuaishou technology,state of delaware,False
ft_id_138,7.1m_1737,0.2777777777777778,caterpillar,indiana university health,False
ft_id_1730,7.1m_757,0.27586206896551724,var energi asa,pratt & whitney,False
ft_id_742,7.1m_1840,0.27586206896551724,mgm resorts,bnp paribas cardif,False
ft_id_1520,7.1m_1749,0.27586206896551724,amerco,university of amsterdam,False
ft_id_750,7.1m_1138,0.27586206896551724,public bank,icici prudential life insurance company limited,False
ft_id_1663,7.1m_1348,0.27450980392156865,china shipbuilding industry,barrick gold corporation,False
ft_id_1018,7.1m_1787,0.27450980392156865,shaanxi construction engineering group,flight centre,False
ft_id_304,7.1m_109,0.2727272727272727,tjx cos,thomson reuters,False
ft_id_1616,7.1m_1313,0.2727272727272727,hachijuni bank,中国平安保险（集团）股份有限公司  pingan china,False
ft_id_1822,7.1m_1204,0.2727272727272727,info edge india,shangri-la hotels and resorts,False
ft_id_158,7.1m_1974,0.2727272727272727,danaher,alaska airlines,False
ft_id_1110,7.1m_1590,0.2727272727272727,credicorp,quad/graphics,False
ft_id_373,7.1m_1147,0.2727272727272727,woolworths,deloitte india (offices of the us),False
ft_id_530,7.1m_538,0.2727272727272727,bunge,purdue university,False
ft_id_968,7.1m_1999,0.2727272727272727,solvay,sharp healthcare,False
ft_id_991,7.1m_1172,0.2727272727272727,suzano papel e celulose,flowserve corporation,False
ft_id_419,7.1m_40,0.2727272727272727,ericsson,general motors,False
ft_id_1244,7.1m_65,0.2727272727272727,bank of greece,novartis,False
ft_id_1333,7.1m_1052,0.2727272727272727,nari technology development,the university of alabama at birmingham,False
ft_id_1208,7.1m_983,0.2727272727272727,banca mediolanum,intuit,False
ft_id_518,7.1m_86,0.2727272727272727,intact financial,sanofi,False
ft_id_561,7.1m_528,0.2702702702702703,svb financial group,harvard university,False
ft_id_479,7.1m_1740,0.2702702702702703,vodafone,ejercito nacional de colombia,False
ft_id_1048,7.1m_450,0.2702702702702703,reliance steel,duke energy corporation,False
ft_id_653,7.1m_1260,0.2702702702702703,dte energy,"lexmark international, inc.",False
ft_id_424,7.1m_1526,0.2702702702702703,keurig dr pepper,ochsner health system,False
ft_id_1177,7.1m_1681,0.2666666666666667,china national chemical,the co-operative group,False
ft_id_409,7.1m_1323,0.2666666666666667,bae systems,bupa,False
ft_id_1656,7.1m_715,0.2666666666666667,bawag group,undp,False
ft_id_1512,7.1m_1856,0.2666666666666667,performance food group,university of sheffield,False
ft_id_1949,7.1m_1312,0.2666666666666667,healthpeak properties,beachbody,False
ft_id_92,7.1m_1079,0.2666666666666667,anheuser-busch inbev,iss facility services a/s,False
ft_id_793,7.1m_1148,0.2666666666666667,vertex pharmaceuticals,fastenal,False
ft_id_571,7.1m_313,0.2666666666666667,devon energy,abn amro bank n.v.,False
ft_id_203,7.1m_1472,0.2666666666666667,saic motor,unisa,False
ft_id_1266,7.1m_778,0.2666666666666667,kohl's,lendlease,False
ft_id_1246,7.1m_799,0.2666666666666667,hd hyundai,government of canada,False
ft_id_241,7.1m_1263,0.26315789473684215,progressive,nationwide building society,False
ft_id_925,7.1m_1111,0.26315789473684215,ww grainger,advantage sales & marketing,False
ft_id_1530,7.1m_1843,0.2622950819672131,fleetcor technologies ,industrial and commercial bank of china,False
ft_id_1574,7.1m_1032,0.26086956521739135,hna technology,dla piper,False
ft_id_314,7.1m_1814,0.26086956521739135,cnp assurances,steel authority of india limited,False
ft_id_171,7.1m_1527,0.26086956521739135,lockheed martin,compucom,False
ft_id_902,7.1m_1884,0.26086956521739135,sabanci holding,waitrose,False
ft_id_569,7.1m_1399,0.25806451612903225,infineon technologies,bcd travel,False
ft_id_1007,7.1m_874,0.25806451612903225,sm investments,bayer cropscience,False
ft_id_895,7.1m_706,0.25806451612903225,e-mart ,health service executive,False
ft_id_1770,7.1m_614,0.25806451612903225,bank of jiujiang,coca-cola femsa,False
ft_id_325,7.1m_85,0.2564102564102564,the saudi national bank,verizon wireless,False
ft_id_1352,7.1m_316,0.2564102564102564,xinjiang daqo new energy,ncr corporation,False
ft_id_1387,7.1m_227,0.2564102564102564,wuestenrot & wuerttembergische,nordstrom,False
ft_id_1808,7.1m_1468,0.2564102564102564,american national group,dfx producciones,False
ft_id_1430,7.1m_1017,0.25531914893617025,henry schein,coca-cola hellenic bottling company,False
ft_id_1315,7.1m_1793,0.25531914893617025,flutter entertainment,peel district school board,False
ft_id_1721,7.1m_1845,0.25,nexi s.p.a.,tiffany & co.,False
ft_id_1866,7.1m_459,0.25,hanwa,ge aviation,False
ft_id_1274,7.1m_1723,0.25,jiangsu hengrui medicine,community health systems,False
ft_id_721,7.1m_1785,0.25,steel dynamics,max life insurance company limited,False
ft_id_913,7.1m_1091,0.25,asustek computer,synopsys,False
ft_id_743,7.1m_1746,0.25,dsm,federal-mogul,False
ft_id_526,7.1m_952,0.25,banorte,"ross stores, inc.",False
ft_id_1429,7.1m_1693,0.25,chailease holding,york university,False
ft_id_1217,7.1m_12,0.25,terna,wells fargo,False
ft_id_1661,7.1m_1665,0.25,harbin bank,thyssenkrupp elevator,False
ft_id_1061,7.1m_1679,0.25,uni-president,dnb,False
ft_id_564,7.1m_255,0.25,muyuan foodstuff,qualcomm,False
ft_id_501,7.1m_1408,0.25,sherwin-williams,wärtsilä,False
ft_id_116,7.1m_1783,0.25,bank of montreal,sony electronics,False
ft_id_857,7.1m_1960,0.25,signature bank,kier group,False
ft_id_311,7.1m_1236,0.25,marubeni,thirty-one gifts,False
ft_id_358,7.1m_140,0.25,dollar general,exxonmobil,False
ft_id_470,7.1m_1354,0.25,firstrand,hsbc commercial banking,False
ft_id_291,7.1m_957,0.25,kweichow moutai,universidade de são paulo,False
ft_id_1910,7.1m_914,0.25,commercial metals,duke university,False
ft_id_1739,7.1m_231,0.25,mercuries & associates,particular,False
ft_id_1327,7.1m_1485,0.25,campbell soup,oceaneering,False
ft_id_1994,7.1m_1553,0.25,aperam,university of iowa,False
ft_id_1600,7.1m_413,0.25,zto express (cayman),"anthem, inc.",False
ft_id_1623,7.1m_467,0.25,investec,bayer healthcare,False
ft_id_1084,7.1m_655,0.25,tongwei,us forest service,False
ft_id_756,7.1m_1409,0.25,omnicom group,china life insurance co.ltd,False
ft_id_494,7.1m_1296,0.25,komatsu,allianz insurance,False
ft_id_274,7.1m_798,0.24390243902439024,volvo group,indiana university bloomington,False
ft_id_758,7.1m_1330,0.24242424242424243,cheniere energy,state of minnesota,False
ft_id_233,7.1m_90,0.24242424242424243,canadian natural resources,tencent,False
ft_id_1630,7.1m_1053,0.24242424242424243,clal insurance enterprises ,issste,False
ft_id_590,7.1m_670,0.24242424242424243,fidelity national financial,syntel,False
ft_id_647,7.1m_1119,0.24242424242424243,mitsubishi estate,baker & mckenzie,False
ft_id_811,7.1m_1898,0.24242424242424243,apollo global management,telkomsel,False
ft_id_665,7.1m_1580,0.24,kyocera,københavns kommune,False
ft_id_1610,7.1m_626,0.24,kaspi.kz jsc,national grid,False
ft_id_1678,7.1m_1445,0.24,bank pekao,deloitte canada,False
ft_id_1451,7.1m_1222,0.24,ss&c technologies,proximus,False
ft_id_1128,7.1m_1355,0.24,bath & body works,tu delft,False
ft_id_1675,7.1m_1787,0.24,wpg holdings,flight centre,False
ft_id_596,7.1m_366,0.24,rogers communications,ymca,False
ft_id_1317,7.1m_400,0.24,brighthouse financial,bell,False
ft_id_1422,7.1m_1919,0.24,adecco,cobb county schools,False
ft_id_438,7.1m_885,0.24,norfolk southern,taco bell,False
ft_id_1309,7.1m_517,0.24,arab national bank,telenor,False
ft_id_1356,7.1m_217,0.23809523809523814,china overseas grand oceans group,tesco plc,False
ft_id_1284,7.1m_98,0.23529411764705888,hydro one,facebook,False
ft_id_6,7.1m_402,0.23529411764705888,apple,bhp billiton,False
ft_id_326,7.1m_65,0.23529411764705888,richemont,novartis,False
ft_id_1840,7.1m_205,0.23529411764705888,ricoh,novo nordisk,False
ft_id_1659,7.1m_85,0.23529411764705888,cpi property group,verizon wireless,False
ft_id_1376,7.1m_477,0.23529411764705888,nexon,l&t infotech,False
ft_id_1002,7.1m_429,0.23529411764705888,eletrobrás,barclays investment bank,False
ft_id_650,7.1m_862,0.23529411764705888,cgn power,the university of arizona,False
ft_id_917,7.1m_1094,0.23529411764705888,china molybdenum,"ryder system, inc.",False
ft_id_1893,7.1m_1019,0.23529411764705888,aozora bank,us environmental protection agency (epa),False
ft_id_1814,7.1m_1960,0.23529411764705888,suzuken,kier group,False
ft_id_281,7.1m_825,0.23529411764705888,investor ab,chanel,False
ft_id_598,7.1m_1917,0.23529411764705888,m&t bank,air india,False
ft_id_594,7.1m_669,0.23529411764705888,sysco,world vision,False
ft_id_766,7.1m_1625,0.23188405797101452,dongfeng motor group,codelco – corporación nacional del cobre de chile,False
ft_id_207,7.1m_674,0.23076923076923073,china pacific insurance,cis,False
ft_id_388,7.1m_786,0.23076923076923073,bank of shanghai,concentrix,False
ft_id_1828,7.1m_1803,0.23076923076923073,red eléctrica,bosch rexroth,False
ft_id_878,7.1m_1952,0.23076923076923073,lg display,indian air force,False
ft_id_1005,7.1m_534,0.23076923076923073,e.sun financial,pôle emploi,False
ft_id_687,7.1m_152,0.23076923076923073,hong kong exchanges,genpact,False
ft_id_412,7.1m_838,0.22857142857142854,novatek,policia nacional de colombia,False
ft_id_1392,7.1m_1396,0.22857142857142854,oji holdings,bayada home health care,False
ft_id_398,7.1m_891,0.2272727272727273,johnson controls international,etihad airways,False
ft_id_564,7.1m_1298,0.22580645161290325,muyuan foodstuff,vinh phuc pharmaceutical joint - stock company,False
ft_id_1589,7.1m_1188,0.2222222222222222,shionogi,the university of queensland,False
ft_id_1051,7.1m_61,0.2222222222222222,teva pharmaceutical,promobroker agente de seguros y de fianzas s a de c v,False
ft_id_47,7.1m_1206,0.2222222222222222,axa group,medical university of south carolina,False
ft_id_778,7.1m_384,0.2222222222222222,american airlines group,saic,False
ft_id_851,7.1m_1782,0.2222222222222222,beijing-shanghai high-speed railway,united technologies,False
ft_id_1177,7.1m_751,0.2222222222222222,china national chemical,kone,False
ft_id_1783,7.1m_663,0.2222222222222222,lucid motors,scania,False
ft_id_1919,7.1m_825,0.2222222222222222,central bank of india,chanel,False
ft_id_196,7.1m_1551,0.2222222222222222,telefónica,givaudan,False
ft_id_577,7.1m_764,0.2222222222222222,raymond james financial,enel,False
ft_id_1167,7.1m_1930,0.2222222222222222,fastighets balder,korn ferry,False
ft_id_700,7.1m_1782,0.2222222222222222,jackson financial,united technologies,False
ft_id_483,7.1m_836,0.2222222222222222,ntpc,"the tjx companies, inc.",False
ft_id_136,7.1m_225,0.21818181818181814,china shenhua energy,los angeles unified school district,False
ft_id_1173,7.1m_1843,0.21739130434782605,textron,industrial and commercial bank of china,False
ft_id_1674,7.1m_1327,0.21621621621621623,china merchants port holdings,opentext,False
ft_id_1001,7.1m_872,0.2142857142857143,block,national bank of canada,False
ft_id_1667,7.1m_1085,0.2142857142857143,twitter,coca-cola enterprises,False
ft_id_610,7.1m_1077,0.2142857142857143,marriott international,telkom,False
ft_id_1688,7.1m_17,0.2142857142857143,huntsman,jpmorgan chase & co.,False
ft_id_1218,7.1m_1287,0.2142857142857143,on semiconductor corp.,cyient,False
ft_id_1287,7.1m_1678,0.21052631578947367,goertek,u.s. department of the treasury,False
ft_id_1229,7.1m_62,0.21052631578947367,alcoa,morgan stanley,False
ft_id_1243,7.1m_408,0.21052631578947367,kobe steel,unicredit,False
ft_id_130,7.1m_1518,0.21052631578947367,manulife,university of colorado boulder,False
ft_id_1591,7.1m_186,0.21052631578947367,owens corning,jacobs,False
ft_id_1976,7.1m_1579,0.21052631578947367,ampol ,national university of singapore,False
ft_id_1775,7.1m_799,0.2068965517241379,pik group,government of canada,False
ft_id_265,7.1m_430,0.2068965517241379,bank of new york mellon,toyota,False
ft_id_1357,7.1m_897,0.2068965517241379,tokyo century,florida hospital,False
ft_id_993,7.1m_1725,0.2068965517241379,yum! brands,arbetsförmedlingen,False
ft_id_1618,7.1m_349,0.2068965517241379,"sumitomo forestry co.,",youtube,False
ft_id_1137,7.1m_771,0.20512820512820518,china huarong asset management,luxottica,False
ft_id_71,7.1m_502,0.19999999999999996,roche holding,statoil,False
ft_id_1614,7.1m_379,0.19999999999999996,sdic capital,rabobank,False
ft_id_490,7.1m_344,0.19999999999999996,paccar,british american tobacco,False
ft_id_349,7.1m_700,0.19999999999999996,bank rakyat indonesia (bri),sutter health,False
ft_id_886,7.1m_1891,0.19999999999999996,cez group,indian army,False
ft_id_936,7.1m_1898,0.19999999999999996,semiconductor manufacturing international,telkomsel,False
ft_id_247,7.1m_761,0.19999999999999996,exelon,intermountain healthcare,False
ft_id_1883,7.1m_541,0.19999999999999996,pacwest bancorp,chase,False
ft_id_617,7.1m_1077,0.19999999999999996,northern trust,telkom,False
ft_id_1770,7.1m_624,0.19999999999999996,bank of jiujiang,visa,False
ft_id_1214,7.1m_1659,0.19999999999999996,gail india,sc johnson,False
ft_id_1977,7.1m_371,0.19999999999999996,tapestry,rr donnelley,False
ft_id_456,7.1m_1845,0.19999999999999996,corteva,tiffany & co.,False
ft_id_1492,7.1m_354,0.19999999999999996,bank of jinzhou,sabic,False
ft_id_1690,7.1m_1344,0.19999999999999996,sba communications,hydro québec,False
ft_id_1096,7.1m_1154,0.19999999999999996,china southern airlines,publica,False
ft_id_1936,7.1m_190,0.19999999999999996,tmx group,eli lilly and company,False
ft_id_337,7.1m_1423,0.19999999999999996,fresenius,university of chicago,False
ft_id_1046,7.1m_918,0.19999999999999996,wan hai lines,keybank,False
ft_id_1382,7.1m_992,0.19999999999999996,agco,capita,False
ft_id_1923,7.1m_1851,0.19999999999999996,dexus,other,False
ft_id_454,7.1m_1275,0.19999999999999996,hengli petrochemical,us airways,False
ft_id_811,7.1m_1943,0.19512195121951215,apollo global management,younique products,False
ft_id_101,7.1m_949,0.19354838709677424,ubs,orange county public schools,False
ft_id_1390,7.1m_110,0.19354838709677424,obayashi,ministerio de educación,False
ft_id_1965,7.1m_820,0.19354838709677424,zall smart commerce group,sandoz,False
ft_id_1452,7.1m_845,0.19354838709677424,adani enterprises,mott macdonald,False
ft_id_638,7.1m_1342,0.19354838709677424,formosa petrochemical,al-futtaim,False
ft_id_1527,7.1m_505,0.19047619047619047,virgin money uk,fiserv,False
ft_id_259,7.1m_976,0.19047619047619047,nordea bank,technipfmc,False
ft_id_1052,7.1m_1825,0.19047619047619047,c.h. robinson,mediacom,False
ft_id_116,7.1m_755,0.19047619047619047,bank of montreal,cemex,False
ft_id_765,7.1m_76,0.19047619047619047,haitong securities,ubs,False
ft_id_1270,7.1m_1688,0.19047619047619047,new hope liuhe,softtek,False
ft_id_34,7.1m_625,0.19047619047619047,allianz,dimension data,False
ft_id_1089,7.1m_148,0.19047619047619047,lithia motors,best buy,False
ft_id_535,7.1m_1026,0.19047619047619047,cbre group,alibaba.com,False
ft_id_1855,7.1m_371,0.19047619047619047,toho bank,rr donnelley,False
ft_id_863,7.1m_728,0.19047619047619047,daiichi sankyo,gartner,False
ft_id_942,7.1m_1672,0.19047619047619047,korea gas,fedex office,False
ft_id_753,7.1m_1118,0.19047619047619047,kellogg,sanofi genzyme,False
ft_id_1222,7.1m_1191,0.19047619047619047,toppan printing,luxoft,False
ft_id_1165,7.1m_1899,0.1875,capitaland investment,micro focus,False
ft_id_609,7.1m_1260,0.1875,oneok,"lexmark international, inc.",False
ft_id_1299,7.1m_1486,0.1875,banco bpm,university of tennessee,False
ft_id_549,7.1m_98,0.1875,air products & chemicals,facebook,False
ft_id_1225,7.1m_1766,0.18518518518518523,ferrari,international committee of the red cross - icrc,False
ft_id_751,7.1m_1563,0.18181818181818177,tcl ,aurecon,False
ft_id_95,7.1m_423,0.18181818181818177,citic,walt disney world,False
ft_id_1272,7.1m_1472,0.18181818181818177,copart,unisa,False
ft_id_132,7.1m_1553,0.18181818181818177,basf,university of iowa,False
ft_id_425,7.1m_1284,0.18181818181818177,china yangtze power,cdw,False
ft_id_849,7.1m_1317,0.18181818181818177,moody's,24 hour fitness,False
ft_id_740,7.1m_1543,0.18181818181818177,nec,subsea 7,False
ft_id_560,7.1m_32,0.18181818181818177,best buy,nhs,False
ft_id_69,7.1m_447,0.18181818181818177,equinor,te connectivity,False
ft_id_1223,7.1m_1387,0.18181818181818177,shanghai electric group,erasmus mc,False
ft_id_139,7.1m_1624,0.18181818181818177,mitsui,entel,False
ft_id_716,7.1m_1153,0.18181818181818177,george weston,lufthansa,False
ft_id_1573,7.1m_572,0.1777777777777778,knorr-bremse,the university of texas at austin,False
ft_id_150,7.1m_1991,0.17647058823529416,tesla,harley-davidson motor company,False
ft_id_594,7.1m_1601,0.17391304347826086,sysco,balfour beatty plc,False
ft_id_1428,7.1m_1251,0.17391304347826086,attijariwafa bank,my own,False
ft_id_654,7.1m_751,0.16666666666666663,china hongqiao group,kone,False
ft_id_176,7.1m_1848,0.16666666666666663,vinci,hospira,False
ft_id_534,7.1m_925,0.16666666666666663,crrc,university of oxford,False
ft_id_1053,7.1m_1158,0.16666666666666663,verbund,sykes,False
ft_id_1404,7.1m_559,0.16666666666666663,berry global group,henkel,False
ft_id_1894,7.1m_1256,0.16666666666666663,essex property trust,ratp,False
ft_id_110,7.1m_1301,0.16666666666666663,eni,eduseeker,False
ft_id_352,7.1m_232,0.16666666666666663,bank of beijing,travelers,False
ft_id_1072,7.1m_384,0.16666666666666663,microchip technology,saic,False
ft_id_1529,7.1m_1990,0.16666666666666663,us foods,local government,False
ft_id_1293,7.1m_1083,0.16470588235294115,inter rao,"department of education and early childhood development, victoria, australia",False
ft_id_1625,7.1m_1439,0.16216216216216217,nishi-nippon financial holdings,aiesec,False
ft_id_608,7.1m_1047,0.16216216216216217,stanley black & decker,marriott hotels,False
ft_id_722,7.1m_427,0.16000000000000003,keyence,the salvation army,False
ft_id_1173,7.1m_1176,0.1578947368421053,textron,essalud seguros social de salud,False
ft_id_264,7.1m_1716,0.15384615384615385,denso,u.s. army network enterprise technology command,False
ft_id_1976,7.1m_1958,0.15384615384615385,ampol ,wayfair,False
ft_id_1930,7.1m_1236,0.15384615384615385,ayala corp,thirty-one gifts,False
ft_id_1038,7.1m_258,0.15384615384615385,kakao,enterprise rent-a-car,False
ft_id_1499,7.1m_639,0.15384615384615385,borgwarner,zte,False
ft_id_1348,7.1m_1771,0.15384615384615385,mccormick,deakin university,False
ft_id_1989,7.1m_1647,0.15384615384615385,grandjoy holdings group,sfr,False
ft_id_586,7.1m_1619,0.15384615384615385,vivendi,state of washington,False
ft_id_1535,7.1m_1305,0.14814814814814814,rexel,libero  professionista,False
ft_id_1488,7.1m_771,0.14814814814814814,kingspan group plc,luxottica,False
ft_id_1102,7.1m_968,0.1428571428571429,china longyuan power,teradata,False
ft_id_1406,7.1m_1679,0.1428571428571429,perkinelmer,dnb,False
ft_id_191,7.1m_1,0.1428571428571429,anz,tata consultancy services,False
ft_id_1265,7.1m_248,0.1428571428571429,kpn,flextronics,False
ft_id_1283,7.1m_290,0.1428571428571429,popular,foxconn,False
ft_id_1022,7.1m_373,0.1428571428571429,unum,university of washington,False
ft_id_1178,7.1m_1625,0.14035087719298245,fastenal,codelco – corporación nacional del cobre de chile,False
ft_id_988,7.1m_352,0.13793103448275867,geely automobile holdings,mars,False
ft_id_1376,7.1m_1390,0.13793103448275867,nexon,west virginia university,False
ft_id_439,7.1m_727,0.13793103448275867,principal financial group,asml,False
ft_id_1520,7.1m_1463,0.13636363636363635,amerco,school district of hillsborough county,False
ft_id_1977,7.1m_1099,0.1351351351351351,tapestry,deutsche gesellschaft für internationale zusammenarbeit (giz) gmbh,False
ft_id_1442,7.1m_267,0.1333333333333333,olin,weatherford,False
ft_id_1362,7.1m_1048,0.1333333333333333,brown-forman,seb,False
ft_id_1830,7.1m_461,0.1333333333333333,banca popolare di sondrio,tesla,False
ft_id_74,7.1m_1308,0.1333333333333333,bhp group,oi s.a,False
ft_id_1630,7.1m_315,0.1333333333333333,clal insurance enterprises ,trw,False
ft_id_801,7.1m_913,0.1333333333333333,us steel,aricent,False
ft_id_178,7.1m_1393,0.1333333333333333,américa móvil,bath & body works,False
ft_id_124,7.1m_143,0.1333333333333333,unilever,royal bank of scotland,False
ft_id_1755,7.1m_23,0.1333333333333333,bajaj auto,nokia,False
ft_id_260,7.1m_1349,0.1333333333333333,seven & i holdings,a.t. kearney,False
ft_id_209,7.1m_466,0.12903225806451613,amgen,the janssen pharmaceutical companies of johnson & johnson,False
ft_id_1486,7.1m_850,0.125,thai beverage,adt,False
ft_id_545,7.1m_1020,0.125,csl,cincinnati children's hospital medical center,False
ft_id_161,7.1m_1235,0.125,lowe's,royal navy,False
ft_id_91,7.1m_1326,0.125,cisco systems,ucb,False
ft_id_1956,7.1m_1420,0.11764705882352944,adnoc drilling,gpa,False
ft_id_1439,7.1m_1899,0.11764705882352944,rivian,micro focus,False
ft_id_1803,7.1m_755,0.11764705882352944,jointown pharmaceutical group,cemex,False
ft_id_1533,7.1m_91,0.11764705882352944,keppel,j.p. morgan,False
ft_id_121,7.1m_1550,0.11764705882352944,airbus,chick-fil-a,False
ft_id_1286,7.1m_1218,0.11764705882352944,sg holdings,kiewit,False
ft_id_1892,7.1m_1022,0.11764705882352944,f&f,bain & company,False
ft_id_686,7.1m_1344,0.11764705882352944,iqvia,hydro québec,False
ft_id_1010,7.1m_328,0.11428571428571432,taiwan cooperative financial,samsung,False
ft_id_1466,7.1m_679,0.11428571428571432,sgs,pacific gas and electric company,False
ft_id_1865,7.1m_888,0.11428571428571432,shimizu,"stanley black & decker, inc.",False
ft_id_375,7.1m_6,0.11428571428571432,adobe,cognizant technology solutions,False
ft_id_1162,7.1m_1266,0.11111111111111116,hess,black & veatch,False
ft_id_1131,7.1m_325,0.11111111111111116,scor,wipro infotech,False
ft_id_499,7.1m_1138,0.11111111111111116,vonovia,icici prudential life insurance company limited,False
ft_id_1060,7.1m_1182,0.10810810810810811,risesun real estate development,mazars,False
ft_id_1104,7.1m_966,0.10526315789473684,bdo unibank,swiss re,False
ft_id_1017,7.1m_1143,0.10526315789473684,agc,philips lighting,False
ft_id_1757,7.1m_847,0.10526315789473684,shandong hualu-hengsheng chemical,hertz,False
ft_id_797,7.1m_1244,0.10526315789473684,whirlpool,restaurant,False
ft_id_1064,7.1m_1910,0.10526315789473684,ucb,westrock company,False
ft_id_617,7.1m_663,0.09999999999999998,northern trust,scania,False
ft_id_19,7.1m_1146,0.09999999999999998,at&t,general dynamics,False
ft_id_1484,7.1m_1733,0.09999999999999998,synovus,telia company,False
ft_id_780,7.1m_1088,0.09999999999999998,kla,weichert realtors,False
ft_id_123,7.1m_4,0.09999999999999998,hon hai precision ,ey,False
ft_id_1309,7.1m_1523,0.09523809523809523,arab national bank,acs,False
ft_id_1685,7.1m_1902,0.09523809523809523,chang hwa bank,sicredi,False
ft_id_1490,7.1m_1983,0.09523809523809523,kerry properties,sonda,False
ft_id_1504,7.1m_1147,0.09302325581395354,kakaobank,deloitte india (offices of the us),False
ft_id_94,7.1m_986,0.09090909090909094,chubb,gap inc./old navy,False
ft_id_1265,7.1m_1250,0.08695652173913049,kpn,harman international,False
ft_id_256,7.1m_119,0.08695652173913049,kb financial group,merck,False
ft_id_675,7.1m_1648,0.07999999999999996,pg&e,usana health sciences,False
ft_id_1921,7.1m_793,0.07999999999999996,galaxy entertainment,sysco,False
ft_id_668,7.1m_492,0.07999999999999996,china taiping insurance,rb,False
ft_id_786,7.1m_1856,0.07692307692307687,mtr,university of sheffield,False
ft_id_184,7.1m_766,0.07407407407407407,honeywell international,cb&i,False
ft_id_1577,7.1m_785,0.0714285714285714,china resources gas group,meb,False
ft_id_1804,7.1m_1976,0.0714285714285714,kawasaki heavy industries,cnn,False
ft_id_1137,7.1m_1128,0.05882352941176472,china huarong asset management,lyft,False
