db_id;sevM_id;LevScore;db;sevMil;label
dbpedia_789;7.1m_1938;0.23529411764705888;deutsche presse-agentur;millercoors;FALSE
dbpedia_3676;7.1m_1300;0.23333333333333328;ihg hotels & resorts;pontificia universidad católica de chile;FALSE
dbpedia_3010;7.1m_961;0.23076923076923073;transcom group;china mobile;FALSE
dbpedia_5655;7.1m_1637;0.23076923076923073;intellia therapeutics;senac;FALSE
dbpedia_6332;7.1m_306;0.22857142857142854;energi 1;philip morris international;FALSE
dbpedia_1090;7.1m_188;0.22857142857142854;namakkal transport carriers;raytheon;FALSE
dbpedia_542;7.1m_440;0.2272727272727273;northrop grumman innovation systems;genentech;FALSE
dbpedia_6063;7.1m_388;0.2272727272727273;people's bank of zanzibar;indite technologies;FALSE
dbpedia_2767;7.1m_1285;0.2264150943396226;gestamp;consolidated contractors international company;FALSE
dbpedia_2386;7.1m_1861;0.2222222222222222;banco pan;western university;FALSE
dbpedia_4402;7.1m_447;0.2222222222222222;williams-sonoma, inc.;te connectivity;FALSE
dbpedia_737;7.1m_631;0.2222222222222222;don quijote (store);etisalat;FALSE
dbpedia_3411;7.1m_678;0.2222222222222222;pfizer;kpn;FALSE
dbpedia_2656;7.1m_1225;0.2222222222222222;seneca foods;postnl;FALSE
dbpedia_2148;7.1m_1451;0.2222222222222222;planet labs;st. jude medical;FALSE
dbpedia_5565;7.1m_1178;0.2222222222222222;hy-vee;massage envy;FALSE
dbpedia_5842;7.1m_1387;0.2222222222222222;edoardo raffinerie garrone;erasmus mc;FALSE
dbpedia_2535;7.1m_1005;0.2222222222222222;mizkan;memorial hermann health system;FALSE
dbpedia_4673;7.1m_1990;0.2222222222222222;norske skog;local government;FALSE
dbpedia_3991;7.1m_1166;0.2222222222222222;hill-rom;abercrombie & fitch;FALSE
dbpedia_4081;7.1m_1952;0.2222222222222222;mt højgaard;indian air force;FALSE
dbpedia_3958;7.1m_1794;0.2222222222222222;trønderenergi;banco sabadell;FALSE
dbpedia_6869;7.1m_922;0.2222222222222222;increo interactive creations as;owner;FALSE
dbpedia_922;7.1m_1097;0.2222222222222222;unit4;pernod ricard;FALSE
dbpedia_3197;7.1m_594;0.2222222222222222;shōeisha;sam's club;FALSE
dbpedia_4017;7.1m_773;0.21739130434782605;plum creek timber;national institutes of health;FALSE
dbpedia_1410;7.1m_1541;0.21621621621621623;abu dhabi national oil company;chili's;FALSE
dbpedia_4446;7.1m_1553;0.2142857142857143;tata group;university of iowa;FALSE
dbpedia_3238;7.1m_249;0.2142857142857143;esselunga;standard bank group;FALSE
dbpedia_3196;7.1m_332;0.2142857142857143;scottish power;kimberly-clark;FALSE
dbpedia_4794;7.1m_1972;0.2142857142857143;amec foster wheeler;uba group;FALSE
dbpedia_4892;7.1m_273;0.21052631578947367;ezra holdings;dupont;FALSE
dbpedia_889;7.1m_270;0.21052631578947367;uniadex;sopra steria;FALSE
dbpedia_5742;7.1m_1968;0.21052631578947367;eren holding;essilor;FALSE
dbpedia_943;7.1m_903;0.21052631578947367;brown thomas;labcorp;FALSE
dbpedia_868;7.1m_1626;0.20833333333333337;rwe supply & trading cz;niit technologies limited;FALSE
dbpedia_5941;7.1m_1471;0.2068965517241379;red gold;university at buffalo;FALSE
dbpedia_5824;7.1m_558;0.2068965517241379;ezchip semiconductor;blackrock;FALSE
dbpedia_2356;7.1m_1168;0.2068965517241379;gs yuasa;university of georgia;FALSE
dbpedia_6804;7.1m_1902;0.2068965517241379;maduro & curiel's bank;sicredi;FALSE
dbpedia_1820;7.1m_1979;0.20512820512820518;irobot;universidad complutense de madrid;FALSE
dbpedia_1388;7.1m_339;0.19999999999999996;sera architects;indra;FALSE
dbpedia_693;7.1m_1980;0.19999999999999996;moneygram;funny types;FALSE
dbpedia_6116;7.1m_1894;0.19999999999999996;topps;oficina privada;FALSE
dbpedia_1242;7.1m_78;0.19999999999999996;grupo abril;walgreens;FALSE
dbpedia_1329;7.1m_1615;0.19999999999999996;wayne farms;toronto district school board;FALSE
dbpedia_843;7.1m_875;0.19999999999999996;lonrho;university of cincinnati;FALSE
dbpedia_510;7.1m_1131;0.19999999999999996;fabasoft;university of missouri;FALSE
dbpedia_2773;7.1m_192;0.19999999999999996;m&co.;eskom;FALSE
dbpedia_2697;7.1m_1943;0.19999999999999996;ert (company);younique products;FALSE
dbpedia_1380;7.1m_1142;0.19999999999999996;proassurance;gamestop;FALSE
dbpedia_5926;7.1m_1742;0.19999999999999996;pocketbook international;aircel;FALSE
dbpedia_4512;7.1m_1231;0.19999999999999996;prestige group;citrix;FALSE
dbpedia_5852;7.1m_724;0.19999999999999996;stock spirits;va medical center;FALSE
dbpedia_5629;7.1m_895;0.19512195121951215;ascom group;new york-presbyterian hospital;FALSE
dbpedia_5892;7.1m_1075;0.19354838709677424;georgian industrial group;dnv gl;FALSE
dbpedia_3925;7.1m_1960;0.1917808219178082;institute for research in economics and business administration;kier group;FALSE
dbpedia_6798;7.1m_7;0.19047619047619047;hyundai glovis;walmart;FALSE
dbpedia_4284;7.1m_1465;0.19047619047619047;fido solutions;audi ag;FALSE
dbpedia_2118;7.1m_470;0.19047619047619047;boxeur des rues;re/max;FALSE
dbpedia_6349;7.1m_1987;0.19047619047619047;eurochem;smurfit kappa;FALSE
dbpedia_1301;7.1m_826;0.1875;perdigão s.a.;comunidad de madrid;FALSE
dbpedia_1676;7.1m_1859;0.1875;rubin (company);tata technologies;FALSE
dbpedia_15;7.1m_936;0.18461538461538463;wesfarmers;penn medicine, university of pennsylvania health system;FALSE
dbpedia_757;7.1m_1997;0.18181818181818177;sanyo;sikorsky aircraft;FALSE
dbpedia_5323;7.1m_1661;0.18181818181818177;noble group;itc limited;FALSE
dbpedia_5706;7.1m_1338;0.18181818181818177;teladoc health;netsuite;FALSE
dbpedia_1980;7.1m_315;0.18181818181818177;plasmart;trw;FALSE
dbpedia_2343;7.1m_1693;0.18181818181818177;betsson;york university;FALSE
dbpedia_5426;7.1m_1988;0.18181818181818177;ryanair;city of houston;FALSE
dbpedia_3991;7.1m_996;0.18181818181818177;hill-rom;poder judicial;FALSE
dbpedia_4191;7.1m_483;0.18181818181818177;ssangyong engineering and construction;altran;FALSE
dbpedia_44;7.1m_433;0.18181818181818177;babylon health;motorola;FALSE
dbpedia_1265;7.1m_1225;0.1777777777777778;information satellite systems reshetnev;postnl;FALSE
dbpedia_2495;7.1m_188;0.17647058823529416;global trust bank (uganda);raytheon;FALSE
dbpedia_3469;7.1m_1077;0.17647058823529416;university of florida health;telkom;FALSE
dbpedia_6211;7.1m_1669;0.17647058823529416;snam;los alamos national laboratory;FALSE
dbpedia_5357;7.1m_64;0.17391304347826086;bruegger's;independiente;FALSE
dbpedia_871;7.1m_147;0.17391304347826086;planar systems;hdfc bank;FALSE
dbpedia_1596;7.1m_855;0.16666666666666663;campari group;robert half;FALSE
dbpedia_3523;7.1m_980;0.16666666666666663;cyberark;ongc;FALSE
dbpedia_3360;7.1m_318;0.16666666666666663;sydney development corporation;amdocs;FALSE
dbpedia_4592;7.1m_1249;0.16666666666666663;genivar;mahle;FALSE
dbpedia_4007;7.1m_1646;0.16666666666666663;ns railinfratrust;equinox;FALSE
dbpedia_2171;7.1m_398;0.16666666666666663;yoke's fresh market;adobe;FALSE
dbpedia_5311;7.1m_1128;0.16666666666666663;armacell;lyft;FALSE
dbpedia_3057;7.1m_1089;0.16000000000000003;evry;oracle india pvt. ltd;FALSE
dbpedia_509;7.1m_1022;0.16000000000000003;house foods;bain & company;FALSE
dbpedia_4341;7.1m_1939;0.16000000000000003;smart technologies;equifax;FALSE
dbpedia_1140;7.1m_703;0.1578947368421053;huawei;miami-dade county public schools;FALSE
dbpedia_6261;7.1m_1191;0.15384615384615385;good sam enterprises;luxoft;FALSE
dbpedia_635;7.1m_1424;0.15384615384615385;kfw;edf energy;FALSE
dbpedia_4351;7.1m_1731;0.15384615384615385;option n.v.;astellas pharma;FALSE
dbpedia_4886;7.1m_619;0.15384615384615385;faurecia;hsbc global banking and markets;FALSE
dbpedia_5229;7.1m_1958;0.15384615384615385;svenska petroleum exploration ab;wayfair;FALSE
dbpedia_2100;7.1m_46;0.15384615384615385;lettuce entertain you enterprises;pfizer;FALSE
dbpedia_577;7.1m_1619;0.15384615384615385;parexel;state of washington;FALSE
dbpedia_3895;7.1m_1614;0.15000000000000002;salesforce;mary kay idependent consultant;FALSE
dbpedia_3262;7.1m_1470;0.15000000000000002;b. braun;express employment professionals;FALSE
dbpedia_2700;7.1m_103;0.1428571428571429;deutz ag;abbott;FALSE
dbpedia_3930;7.1m_1765;0.1428571428571429;aerolíneas argentinas;cmc ltd;FALSE
dbpedia_5828;7.1m_87;0.1428571428571429;delta lloyd group;bnp paribas;FALSE
dbpedia_3443;7.1m_1651;0.1428571428571429;zurich insurance group;akbank;FALSE
dbpedia_1501;7.1m_1457;0.1428571428571429;logicalis;metso;FALSE
dbpedia_3820;7.1m_1208;0.1428571428571429;a1 bulgaria;ngo;FALSE
dbpedia_3391;7.1m_768;0.13636363636363635;genzyme;securitas security services usa, inc.;FALSE
dbpedia_3664;7.1m_1099;0.1351351351351351;futurice;deutsche gesellschaft für internationale zusammenarbeit (giz) gmbh;FALSE
dbpedia_5584;7.1m_1620;0.1333333333333333;o boticário;sars;FALSE
dbpedia_213;7.1m_273;0.1333333333333333;rede s.a.;dupont;FALSE
dbpedia_5652;7.1m_462;0.1333333333333333;inter primo;sena;FALSE
dbpedia_1315;7.1m_1863;0.1333333333333333;x-fab;beiersdorf;FALSE
dbpedia_2834;7.1m_86;0.1333333333333333;flowserve;sanofi;FALSE
dbpedia_2045;7.1m_1238;0.1333333333333333;rovira biscuits corporation;any;FALSE
dbpedia_1086;7.1m_1889;0.1333333333333333;tramontina;essar;FALSE
dbpedia_3088;7.1m_1131;0.12903225806451613;ocbc bank;university of missouri;FALSE
dbpedia_4718;7.1m_1846;0.12903225806451613;club med;fraser health authority;FALSE
dbpedia_2553;7.1m_1541;0.12765957446808507;tag tegernsee immobilien und beteiligung;chili's;FALSE
dbpedia_1765;7.1m_217;125;serneke;tesco plc;FALSE
dbpedia_5729;7.1m_270;125;agco;sopra steria;FALSE
dbpedia_4013;7.1m_1801;125;racetrac;grundfos;FALSE
dbpedia_5496;7.1m_822;0.11764705882352944;noordzee helikopters vlaanderen;yok;FALSE
dbpedia_4335;7.1m_751;0.11538461538461542;chartered institute of personnel and development;kone;FALSE
dbpedia_2565;7.1m_1020;0.1132075471698113;tv tokyo;cincinnati children's hospital medical center;FALSE
dbpedia_2880;7.1m_1488;0.11111111111111116;carvana;post office;FALSE
dbpedia_388;7.1m_595;0.11111111111111116;rumo logística;geen;FALSE
dbpedia_4749;7.1m_1729;0.11111111111111116;john holt plc;bunge;FALSE
dbpedia_5913;7.1m_594;0.11111111111111116;navantia;sam's club;FALSE
dbpedia_3058;7.1m_129;0.11111111111111116;mary kay;telefónica;FALSE
dbpedia_2753;7.1m_158;0.10526315789473684;19 entertainment;pnc;FALSE
dbpedia_3784;7.1m_1647;0.10526315789473684;patria (company);sfr;FALSE
dbpedia_2501;7.1m_1048;0.10526315789473684;guess (clothing);seb;FALSE
dbpedia_4338;7.1m_1065;0.10526315789473684;richemont;dallas isd;FALSE
dbpedia_589;7.1m_1369;0.10256410256410253;godaddy;bharat heavy electricals limited;FALSE
dbpedia_3743;7.1m_1862;0.10256410256410253;h-e-b;blue cross blue shield of michigan;FALSE
dbpedia_751;7.1m_455;0.09999999999999998;siderperu;tata motors;FALSE
dbpedia_6000;7.1m_315;0.09523809523809523;candu owners group;trw;FALSE
dbpedia_1593;7.1m_1601;0.09090909090909094;cyta;balfour beatty plc;FALSE
dbpedia_602;7.1m_1126;0.09090909090909094;greggs;southern company;FALSE
dbpedia_5416;7.1m_51;0.08695652173913049;the container store;dell;FALSE
dbpedia_1273;7.1m_631;0.08695652173913049;keumyoung group;etisalat;FALSE
dbpedia_4388;7.1m_116;0.08333333333333337;guidewell;pcs informatica;FALSE
dbpedia_1366;7.1m_1442;0.08333333333333337;bp;johns hopkins hospital;FALSE
dbpedia_1880;7.1m_1467;0.07407407407407407;wacom;université de montréal;FALSE
dbpedia_3357;7.1m_877;0.0714285714285714;sumitomo heavy industries;fda;FALSE
dbpedia_6145;7.1m_1357;0.0625;jdsu;mcdermott international inc.;FALSE
dbpedia_5133;7.1m_1650;0.0;ssp group;hella;FALSE
dbpedia_5406;7.1m_500;0.0;la-z-boy;heineken;FALSE
dbpedia_897;7.1m_448;0.0;fingerhut;wood;FALSE
dbpedia_3176;7.1m_1868;0.0;merz pharma;ninguno;FALSE
dbpedia_1007;7.1m_722;0.0;jenoptik;ucsf;FALSE
dbpedia_5656;7.1m_434;0.0;intertek;chubb;FALSE
dbpedia_4029;7.1m_15;0.0;renewable energy group;citi;FALSE
dbpedia_311;7.1m_1709;0.0;cemex;afpa;FALSE
dbpedia_5203;7.1m_443;0.0;havertys;bd;FALSE
dbpedia_135;7.1m_207;0.0;synopsys;vale;FALSE
dbpedia_2871;7.1m_293;0.0;cnhi;epam systems;FALSE
