ft_id,db_id,LevScore,ft,dbpedia,label
FT_ID_1543,dbpedia_5552,0.2272727272727273,concordia financial group,g data cyberdefense,False
FT_ID_1343,dbpedia_1360,0.2222222222222222,garmin,dish network,False
FT_ID_280,dbpedia_2101,0.2222222222222222,nutrien,libyan iron and steel company,False
FT_ID_1780,dbpedia_4559,0.2222222222222222,advantest,harris corporation,False
FT_ID_1793,dbpedia_2327,0.2222222222222222,ford otosan,amara raja group,False
FT_ID_1335,dbpedia_3101,0.2222222222222222,eurazeo,southpole (clothing),False
FT_ID_1321,dbpedia_342,0.2222222222222222,didi global,cybaero,False
FT_ID_1341,dbpedia_2145,0.2222222222222222,stonex group,navitas limited,False
FT_ID_1913,dbpedia_6167,0.2222222222222222,grifols,destination xl group,False
FT_ID_444,dbpedia_1611,0.2222222222222222,l3harris technologies,civmec,False
FT_ID_581,dbpedia_6487,0.21739130434782605,activision blizzard,bolsas y mercados españoles,False
FT_ID_201,dbpedia_3427,0.21621621621621623,l'oréal,speciality restaurants limited,False
FT_ID_1337,dbpedia_5664,0.21621621621621623,guangzhou rural commercial bank,kering,False
FT_ID_528,dbpedia_1579,0.2142857142857143,orange,united bank for africa,False
FT_ID_1177,dbpedia_4382,0.2142857142857143,china national chemical,ageas,False
FT_ID_330,dbpedia_1623,0.21052631578947367,nippon steel ,cogeco,False
FT_ID_1418,dbpedia_1340,0.21052631578947367,airbnb,eurasia drilling company limited,False
FT_ID_1540,dbpedia_6735,0.21052631578947367,shiseido,o. n. sunde,False
FT_ID_543,dbpedia_6380,0.21052631578947367,tokyo electron,sogin,False
FT_ID_212,dbpedia_4612,0.2068965517241379,dai-ichi life insurance,gerdau,False
FT_ID_746,dbpedia_6376,0.2068965517241379,guotai junan securities,priszm,False
FT_ID_1754,dbpedia_801,0.2068965517241379,constellation software,havfisk,False
FT_ID_476,dbpedia_3466,0.2068965517241379,barrick gold,valmet automotive,False
FT_ID_152,dbpedia_2197,0.2068965517241379,deere & company,firehouse subs,False
FT_ID_475,dbpedia_5885,0.20512820512820518,new china life insurance,books-a-million,False
FT_ID_887,dbpedia_5043,0.19999999999999996,isuzu motors,tx group,False
FT_ID_687,dbpedia_6554,0.19999999999999996,hong kong exchanges,firstenergy,False
FT_ID_444,dbpedia_848,0.19999999999999996,l3harris technologies,nice ltd.,False
FT_ID_1043,dbpedia_1982,0.19999999999999996,td synnex,air liquide,False
FT_ID_1782,dbpedia_2630,0.19999999999999996,hyakugo bank,bt group,False
FT_ID_1587,dbpedia_3810,0.19999999999999996,dxc technology,keolis nederland,False
FT_ID_589,dbpedia_2028,0.19999999999999996,weichai power,spie sa,False
FT_ID_1124,dbpedia_5767,0.19999999999999996,givaudan,dongbu steel,False
FT_ID_672,dbpedia_711,0.19354838709677424,porsche automobil holding,epiroc,False
FT_ID_1826,dbpedia_3009,0.19354838709677424,yunnan copper co. ltd.,trans-lux,False
FT_ID_1078,dbpedia_1522,0.19354838709677424,beijing shougang,pilgrim's pride,False
FT_ID_1319,dbpedia_3778,0.19047619047619047,krung thai bank,mazars,False
FT_ID_1726,dbpedia_2272,0.19047619047619047,fmc,dawa life sciences,False
FT_ID_1971,dbpedia_1321,0.19047619047619047,musashino bank,23andme,False
FT_ID_1780,dbpedia_3408,0.19047619047619047,advantest,petrol group,False
FT_ID_299,dbpedia_5117,0.19047619047619047,essilorluxottica,prada,False
FT_ID_1128,dbpedia_2344,0.19047619047619047,bath & body works,chevron phillips chemical,False
FT_ID_1252,dbpedia_4876,0.19047619047619047,shanxi xinghuacun fen wine factory,shell us,False
FT_ID_897,dbpedia_2457,0.19047619047619047,gf securities,onebelow,False
FT_ID_1005,dbpedia_749,0.19047619047619047,e.sun financial,dupont,False
FT_ID_831,dbpedia_4804,0.1875,cms energy,amylin pharmaceuticals,False
FT_ID_426,dbpedia_2046,0.1875,dnb bank,acosta sales & marketing,False
FT_ID_1748,dbpedia_1631,0.1875,bayan resources,cosmo oil company,False
FT_ID_147,dbpedia_6046,0.1875,visa,kongsberg satellite services,False
FT_ID_90,dbpedia_5635,0.1875,glencore international,grupo dpsp,False
FT_ID_625,dbpedia_441,0.18181818181818177,nidec,tinfos,False
FT_ID_1404,dbpedia_4058,0.18181818181818177,berry global group,nissin electric,False
FT_ID_1969,dbpedia_4152,0.18181818181818177,masco,alteva,False
FT_ID_230,dbpedia_1498,0.18181818181818177,deutsche bank,hi-living,False
FT_ID_1462,dbpedia_6187,0.18181818181818177,ugi,olympus corporation,False
FT_ID_109,dbpedia_188,0.18181818181818177,enel,natuzzi,False
FT_ID_1023,dbpedia_1688,0.18181818181818177,anta sports products,american well,False
FT_ID_1952,dbpedia_2693,0.18181818181818177,xpo logistics,deliveroo,False
FT_ID_1760,dbpedia_4512,0.18181818181818177,iyo bank,prestige group,False
FT_ID_209,dbpedia_2482,0.18181818181818177,amgen,paccar,False
FT_ID_1840,dbpedia_6533,0.18181818181818177,ricoh,sporveien trikken,False
FT_ID_1185,dbpedia_2590,0.18181818181818177,nvr,westrock,False
FT_ID_871,dbpedia_5000,0.18181818181818177,assa abloy,grupo méxico,False
FT_ID_217,dbpedia_4879,0.17647058823529416,oversea-chinese banking,thoughtspot,False
FT_ID_1632,dbpedia_4775,0.17647058823529416,interactive brokers group,yo! sushi,False
FT_ID_52,dbpedia_2783,0.17391304347826086,td bank group,pfleiderer,False
FT_ID_1456,dbpedia_2164,0.17391304347826086,unicharm,red back mining,False
FT_ID_506,dbpedia_20,0.17391304347826086,lincoln national,entergy,False
FT_ID_1488,dbpedia_116,0.17391304347826086,kingspan group plc,digex,False
FT_ID_700,dbpedia_441,0.17391304347826086,jackson financial,tinfos,False
FT_ID_76,dbpedia_4004,0.17391304347826086,american express,ngp van,False
FT_ID_1954,dbpedia_4282,0.17021276595744683,hokkoku financial holdings,extended stay america,False
FT_ID_1823,dbpedia_2832,0.16666666666666663,finecobank,ardent leisure,False
FT_ID_1701,dbpedia_67,0.16666666666666663,bj's wholesale club,qdoba,False
FT_ID_423,dbpedia_4070,0.16666666666666663,philips,valeo,False
FT_ID_1410,dbpedia_5834,0.16666666666666663,samsung securities,elecom,False
FT_ID_1699,dbpedia_5813,0.16666666666666663,resmed,aercap,False
FT_ID_1404,dbpedia_6473,0.16666666666666663,berry global group,nexans,False
FT_ID_1648,dbpedia_3379,0.16216216216216217,china communications services,roadshow,False
FT_ID_1614,dbpedia_1967,0.16000000000000003,sdic capital,walter energy,False
FT_ID_444,dbpedia_513,0.16000000000000003,l3harris technologies,howa,False
FT_ID_478,dbpedia_419,0.16000000000000003,talanx,fresenius (company),False
FT_ID_1510,dbpedia_3205,0.16000000000000003,zhongyuan bank,m j gleeson,False
FT_ID_1974,dbpedia_1722,0.16000000000000003,seiko epson,frontline ltd.,False
FT_ID_429,dbpedia_3217,0.16000000000000003,boeing,a. t. cross company,False
FT_ID_79,dbpedia_6519,0.16000000000000003,zurich insurance group,rwe,False
FT_ID_1865,dbpedia_6414,0.16000000000000003,shimizu,avtech corporation,False
FT_ID_1244,dbpedia_4879,0.16000000000000003,bank of greece,thoughtspot,False
FT_ID_821,dbpedia_3011,0.15384615384615385,power grid of india,trellix,False
FT_ID_1407,dbpedia_2566,0.15384615384615385,navient,tgw logistics group,False
FT_ID_121,dbpedia_889,0.15384615384615385,airbus,uniadex,False
FT_ID_581,dbpedia_2767,0.15384615384615385,activision blizzard,gestamp,False
FT_ID_1822,dbpedia_3417,0.14814814814814814,info edge india,realnetworks,False
FT_ID_849,dbpedia_2043,0.1428571428571429,moody's,accesso,False
FT_ID_499,dbpedia_2157,0.1428571428571429,vonovia,radware,False
FT_ID_925,dbpedia_5734,0.1428571428571429,ww grainger,eni,False
FT_ID_872,dbpedia_3971,0.1428571428571429,zte,manganese bronze holdings,False
FT_ID_19,dbpedia_6637,0.1428571428571429,at&t,kirkland's,False
FT_ID_1752,dbpedia_1041,0.1428571428571429,bandai namco holdings,bellway,False
FT_ID_289,dbpedia_5335,0.1428571428571429,kroger,unicharm,False
FT_ID_947,dbpedia_6704,0.1428571428571429,sanlam,"fuller, smith & turner",False
FT_ID_104,dbpedia_6799,0.1428571428571429,china state construction engineering,idemia,False
FT_ID_791,dbpedia_6512,0.13953488372093026,eiffage,national bank of commerce (tanzania),False
FT_ID_1951,dbpedia_4177,0.13793103448275867,yamada denki,the carlyle group,False
FT_ID_1280,dbpedia_1570,0.1333333333333333,olam group,nexon,False
FT_ID_1799,dbpedia_3858,0.1333333333333333,tosoh,alarmforce,False
FT_ID_329,dbpedia_1960,0.1333333333333333,danone,a.g. barr,False
FT_ID_1742,dbpedia_3873,0.12903225806451613,exor,proterra (bus manufacturer),False
FT_ID_1780,dbpedia_6498,0.125,advantest,lürssen,False
FT_ID_805,dbpedia_2507,0.125,telia,avis europe,False
FT_ID_1428,dbpedia_3143,0.125,attijariwafa bank,grosvenor group,False
FT_ID_1256,dbpedia_2443,0.125,metro,nudie jeans,False
FT_ID_371,dbpedia_4125,0.12121212121212122,china railway construction,com hem,False
FT_ID_1893,dbpedia_4080,0.11764705882352944,aozora bank,vestas,False
FT_ID_1991,dbpedia_3698,0.11764705882352944,match group,rinnai,False
FT_ID_571,dbpedia_2188,0.11764705882352944,devon energy,ansul,False
FT_ID_400,dbpedia_5398,0.11111111111111116,saudi telecom,kodak,False
FT_ID_971,dbpedia_4641,0.11111111111111116,smc,yugoimport sdpr,False
FT_ID_48,dbpedia_1942,0.10810810810810811,gazprom,t-systems multimedia solutions,False
FT_ID_1977,dbpedia_4620,0.09999999999999998,tapestry,nii holdings,False
FT_ID_858,dbpedia_6808,0.09999999999999998,t rowe price,maconomy,False
FT_ID_1229,dbpedia_1273,0.09999999999999998,alcoa,keumyoung group,False
FT_ID_145,dbpedia_5339,0.09090909090909094,kddi,impulse (retailer),False
FT_ID_145,dbpedia_4324,0.08695652173913049,kddi,mapinfo corporation,False
FT_ID_1498,dbpedia_6597,0.08695652173913049,sinotruk hong kong,caloi,False
FT_ID_1535,dbpedia_6560,0.07999999999999996,rexel,first community bank,False
FT_ID_1051,dbpedia_5600,0.07999999999999996,teva pharmaceutical,solium,False
FT_ID_1895,dbpedia_4424,0.07999999999999996,nanjing iron & steel,metso,False
FT_ID_1023,dbpedia_2915,0.07692307692307687,anta sports products,d-link,False
FT_ID_1791,dbpedia_1667,0.07692307692307687,dcc,cassa di risparmio della repubblica di san marino,False
FT_ID_1305,dbpedia_6809,0.07272727272727275,ppl,brazilian institute of public opinion and statistics,False
FT_ID_1079,dbpedia_6471,0.0,cgi,mlp se,False
FT_ID_872,dbpedia_6846,0.0,zte,virgin group,False
FT_ID_1538,dbpedia_6227,0.0,b3,people telecom,False
FT_ID_97,dbpedia_184,0.0,ibm,neo solar power,False
FT_ID_158,dbpedia_4769,0.0,danaher,wyscout,False
FT_ID_1329,dbpedia_2189,0.0,bunzl,aramark,False
FT_ID_466,dbpedia_5057,0.0,jd.com,telus health,False
